Index Name,Date,Open,High,Low,Close,open-close,low-high,is_quarter_end,SMA_10,SMA_50,target
NIFTY 50,1996-09-26,970.76,970.89,955.6,959.31,11.450000000000045,-15.289999999999964,1,973.177,1020.5518,0
NIFTY 50,1996-09-27,958.79,958.83,942.05,947.23,11.559999999999945,-16.780000000000086,1,969.8280000000001,1017.1228,0
NIFTY 50,1996-09-30,945.68,948.41,932.27,943.96,1.7199999999999136,-16.139999999999986,1,967.997,1013.6166000000001,0
NIFTY 50,1996-10-01,944.51,945.66,933.56,936.27,8.240000000000009,-12.100000000000023,0,964.503,1009.8286,0
NIFTY 50,1996-10-03,937.16,943.38,921.18,924.92,12.240000000000009,-22.200000000000045,0,957.552,1006.4842,0
NIFTY 50,1996-10-04,924.93,925.93,898.47,904.12,20.809999999999945,-27.459999999999923,0,950.1880000000001,1003.178,0
NIFTY 50,1996-10-07,905.76,905.76,859.65,874.0,31.75999999999999,-46.110000000000014,0,939.8849999999999,999.4044,0
NIFTY 50,1996-10-08,872.57,876.78,850.52,873.9,-1.3299999999999272,-26.25999999999999,0,930.391,995.8575999999999,1
NIFTY 50,1996-10-09,873.18,875.85,859.35,874.72,-1.5400000000000773,-16.5,0,920.972,992.6726000000001,1
NIFTY 50,1996-10-10,874.2,900.53,872.83,898.42,-24.219999999999914,-27.699999999999932,0,913.6850000000001,990.3428,1
NIFTY 50,1996-10-11,900.11,915.59,897.6,908.79,-8.67999999999995,-17.99000000000001,0,908.633,987.6624,0
NIFTY 50,1996-10-14,907.26,907.26,890.71,892.05,15.210000000000036,-16.549999999999955,0,903.115,984.7707999999999,1
NIFTY 50,1996-10-15,892.07,902.74,885.23,897.77,-5.699999999999932,-17.50999999999999,0,898.4959999999999,982.0674,0
NIFTY 50,1996-10-16,896.63,905.11,891.16,892.77,3.8600000000000136,-13.950000000000045,0,894.146,979.2769999999999,0
NIFTY 50,1996-10-17,891.42,893.33,880.76,892.07,-0.650000000000091,-12.57000000000005,0,890.8610000000001,976.4082,1
NIFTY 50,1996-10-18,892.61,899.51,888.61,895.0,-2.3899999999999864,-10.899999999999977,0,889.949,973.3364,1
NIFTY 50,1996-10-22,896.87,924.83,896.87,919.09,-22.220000000000027,-27.960000000000036,0,894.458,970.9334,1
NIFTY 50,1996-10-23,924.2,953.44,924.2,951.29,-27.089999999999918,-29.24000000000001,0,902.1970000000001,969.201,0
NIFTY 50,1996-10-24,953.48,956.45,928.45,932.77,20.710000000000036,-28.0,0,908.0020000000001,967.2130000000001,1
